Numer                                       wpisu;Imiê i nazwisko lub nazwa inwestora;Data wpisu;Adres;Rodzaj;opis;typ;Data wniosku;Nr               wniosku;Nr               decyzji;Data decyzji;Rok wniosku;Miesi¹c wniosku;data;Czas rozpatrzenia
141;;;Lipa Piotrowska;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego w zabudowie zagrodowej;nowe;2014-12-11;39906/14;276/15;2015-01-21;2014;12;2014-12-01;30
150;;;Wielkopolska  61 ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednrodzinnego;nowe;2014-12-22;41205/14;292/15;2015-01-22;2014;12;2014-12-01;24
155;;;Be¿owa  13 ;bud.mieszkalne jednorodzinne;budowa budynku jednorodzinnego;nowe;2014-11-27;38334/14;304/15;2015-01-22;2014;11;2014-11-01;41
156;;;Zak³adowa  ;bud.o trzech i wiêcej mieszkaniach;budowa zespo³u budynków mieszkalnych wielorodzinnych z us³ugami;nowe;2014-12-08;39507/14;305/15;2015-01-22;2014;12;2014-12-01;34
158;;;Przemyska  27 ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego;nowe;2014-12-22;41209/14;308/15;2015-01-22;2014;12;2014-12-01;24
163;;;Siedlecka 3 ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego;nowe;2014-10-30;35203/14;315/15;2015-01-23;2014;10;2014-10-01;62
170;;;Œlêzoujœcie  10 ;bud.mieszkalne jednorodzinne;budowa 2 budynków mieszkalnych;nowe;2014-11-28;38369/14;332/15;2015-01-26;2014;11;2014-11-01;42
177;;;Œlêzoujœcie  12 ;bud.mieszkalne jednorodzinne;budowa dwóch budynków mieszkalnych jednorodzinnych w zabudowie bli¿niaczej;nowe;2014-11-28;38368/14;340/15;2015-01-26;2014;11;2014-11-01;42
190;;;Cieszkowskiego Augusta 8 ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego;nowe;2014-11-18;37226/14;383/15;2015-01-28;2014;11;2014-11-01;52
197;;;Siedlecka  22 ;bud.o dwóch mieszkaniach;budowa dwóch budynków mieszkalnych jednorodzinnych dwulokalowych w zabudowie bli¿niaczej;nowe;2014-07-11;22429/14;398/15;2015-01-29;2014;7;2014-07-01;145
198;;;Siedlecka  20 ;bud.o dwóch mieszkaniach;budowa dwoch budynków mieszkalnych jednorodzinnych dwulokalowych w zabudowie bli¿niaczej;nowe;2014-07-11;22430/14;399/15;2015-01-29;2014;7;2014-07-01;145
205;;;Ga³owska 20A ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego w zabudowie wolno stoj¹cej;nowe;2014-12-12;39975/14;419/15;2015-01-30;2014;12;2014-12-01;36
240;;;Dolnobrzeska  54 ;bud.mieszkalne jednorodzinne;budowa dwóch budynków mieszkalnych jednorodzinnych w zabudowie bli¿niaczej;nowe;2015-01-07;176/15;475/15;2015-02-02;2015;1;2015-01-01;19
246;;;Lubelska 112 ;bud.o dwóch mieszkaniach;budowa dwóch budynków mieszkalnych jednorodzinnych;nowe;2014-11-19;37335/14;486/15;2015-02-03;2014;11;2014-11-01;55
263;;;Grawerska  ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego;nowe;2014-12-02;38880/14;521/15;2015-02-05;2014;12;2014-12-01;48
266;;;Grawerska  ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego;nowe;2014-12-02;38881/14;534/15;2015-02-05;2014;12;2014-12-01;48
272;;;Siedlecka  16 ;bud.mieszkalne jednorodzinne;budowa dwóch budynków mieszkalnych jednorodzinnych;nowe;2014-11-26;38167/14;547/15;2015-02-06;2014;11;2014-11-01;53
274;;;Grota-Roweckiego Stefana Gen. 203 ;bud.o trzech i wiêcej mieszkaniach;budowa zespo³u budynków mieszkalno-us³ugowych;nowe;2015-01-28;2496/15;551/15;2015-02-06;2015;1;2015-01-01;8
